name,ring,quadrant,isNew,status,description,tag,moved
CSV,ADOTAR,LINGUAGENS & FRAMEWORKS,False,no change,"<p><strong>Formato de serialização de dados</strong></p>
<p>Formato de arquivo simples, ideal para cenários de compatibilidade e pipelines de ingestão.</p>
<p>Carece de schema, metadados e facilidades de compressão</p>
<p>Armazena dados em formato estruturado, onde cada linha representa um registro e os campos dentro de cada linha são separados por vírgulas (ou outro delimitador). </p>","Serialização
Persistência",none
Delta Tables,ADOTAR,LINGUAGENS & FRAMEWORKS,True,new,"<p><strong>Formato de serialização de dados</strong></p>
<p>Formato padrão para dados semiestruturados; usado em APIs, logs e serviços nativos de Cloud</p>
<p>Compatível com a maioria dos serviços do Azure</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/databricks/data-engineering/tables-views"">Delta Tabes</p>","Serialização
Persistência",new
JSON,ADOTAR,LINGUAGENS & FRAMEWORKS,False,no change,"<p><strong>Formato de serialização de dados</strong></p>
<p><strong><a href=""https://www.json.org/json-en.html"">JSON</p>","Serialização
Persistência",none
Parquet,ADOTAR,LINGUAGENS & FRAMEWORKS,False,no change,"<p><strong>Formato de serialização de dados</strong></p>
<p>Formato colunar, compactado, schema-aware</p>
<p>Formato preferencial para análise e processamento de grabdes volumes de dados</p>
<p><strong><a href=""https://parquet.apache.org/docs/"">Parquet</p>","Serialização
Persistência",none
PySpark,ADOTAR,LINGUAGENS & FRAMEWORKS,False,no change,"<p><strong>Linguagens de Processamento Distribuido</strong></p>
<p>API Python amplamente utilizada para Apache Spark</p>
<p>Utilizada em cenários de processamento de dados escaláveis e distribuidos em ofertas como Synapse, Fabric e Databricks</p>
<p><strong><a href=""https://www.databricks.com/glossary/pyspark"">PySpark</p>",Processamento,none
Spark SQL,ADOTAR,LINGUAGENS & FRAMEWORKS,True,new,"<p><strong>Linguagens de Processamento Distribuido</strong></p>
<p>Interface SQL declarativa para Spark</p>
<p>Permite transformações escaláveis e consultas em arquivos suportados em data lake e parquet/delta</p>
<p><strong><a href=""https://www.databricks.com/glossary/what-is-spark-sql"">Spark SQL</p>",Processamento,new
XML,ADOTAR,LINGUAGENS & FRAMEWORKS,False,no change,"<p><strong>Formato de serialização de dados</strong></p>
<p>Formato legado ainda usado em sistemas empresariais</p>
<p>Raramente utilizado em pipelines modernos, a menos que seja necessário para garantir cenários de conformidade ou interoperabilidade</p>
<p>XML, que significa Extensible Markup Language (Linguagem de Marcação Extensível), é uma linguagem de marcação que fornece regras para definir dados. É uma forma flexível de estruturar e representar dados em documentos. XML permite criar linguagens de marcação específicas para domínios específicos, como gráficos vetoriais (SVG), expressões matemáticas (MathML) e feeds de notícias (RSS). </p>","Serialização
Persistência",none
Kusto Query Language (KQL),ADOTAR,LINGUAGENS & FRAMEWORKS,True,new,"<p><strong>Linguagens de Consulta</strong></p>
<p>Linguagem para consultar dados de telemetria no Azure Monitor, Log Analytics e na camada de monitoramento do Microsoft Fabric.</p>
<p>Essencial para definir dashboards personalizados, alertas e análises avançadas.</p>
<p>Não sendo uma linguagem de programação de uso geral, é , no contexto do stack tecnolológico de observabilidade do Azure, uma linguagem de suporte essencial.</p>",Consulta,new
Azure Monitor Python SDK,AVALIAR,LINGUAGENS & FRAMEWORKS,True,new,"<p><strong>Modelação e Frameworks</strong></p>
<p>Utilização de Python para engenharia de dados/ML beneficiando dos SDKs do Azure para registro e telemetria, por exemplo, azure-monitor-opentelemetry-exporter ou azure.identity com registro estruturado em pipelines.</p>","Monitorização
Observabilidade",new
Data Pipeline Observability,ADOTAR,LINGUAGENS & FRAMEWORKS,True,new,"<p><strong>Modelação e Frameworks</strong></p>
<p>Embora não sejam ""linguagens"" propriamente ditas, os pipelines do Data Factory possuem ""construtores nativos"" de observabilidade incorporadas, incluindo logs em nível de atividade, detalhes de erros, rastreamento de novas tentativas e integração com o Log Analytics.
Para o Microsoft Fabric, a nova camada de orquestração de pipelines segue a mesma abordagem.</p>","Monitorização
Observabilidade",new
Power BI Usage Telemetry,AVALIAR,LINGUAGENS & FRAMEWORKS,True,new,"<p><strong>Modelação e Frameworks</strong></p>
<p>No Microsoft Fabric, é possivel implementar capacidades de observabilidade no Power BI usando expressões DAX combinadas com fontes de telemetria.(ex: duração de consultas, falhas de atualização, comportamento do usuário) </p>","Monitorização
Observabilidade",new
DAX,ADOTAR,LINGUAGENS & FRAMEWORKS,False,no change,"<p><strong>Modelação e Frameworks</strong></p>
<p>No Microsoft Fabric, é possivel implementar capacidades de observabilidade no Power BI usando expressões DAX combinadas com fontes de telemetria.(ex: duração de consultas, falhas de atualização, comportamento do usuário) </p>","Monitorização
Observabilidade",none
Application Insights,AVALIAR,FERRAMENTAS,True,new,"<p><strong>Monitorização e Observabilidade</strong></p>
<p>Ferramenta customizada para implementar capacidades de monitorização e observabilidade de aplicações<p>
<p>É uma ferramenta de monitoramento e diagnóstico (parte do Azure Monitor) usada para rastrear: </p>
<p>1. Desempenho aplicacional</p>
<p>2. Dependências</p>
<p>3. Eventos</p>
<p>4. Exceções e telemetria</p>
<p>Complementa o loging nativo da plataforma com capacidades avançadas de telemetria e integração com o Azure Monitor.</p>
<p>Integra também com outros serviços como o Azure App Service, e até mesmo o APIM.</p>
<p>Não é uma plataforma, mas o tipo de ferramentas disponiveis permite progressivamente adotar algumas técnicas como:</p>
<p>1. Observbilidade</p>
<p>2. Rastreamento Distribuído</p>
<p>2. Instrumentação via OpenTelemetry</p>
<p>3. Monitorização de SLO (Service Level Objectives) e EB (Error Budget Monitoring)</p>
<p><strong><a href=""""https://learn.microsoft.com/pt-pt/azure/azure-monitor/app/app-insights-overview"""">Application Insights</p>""","Monitorização
Observabilidade",new
Azure Automation,AVALIAR,FERRAMENTAS,True,new,"<p><strong>Segurança e Operações</strong></p>
<p>Ferramenta de utilização em cenários específicos de automação de infraestrutura, mas que tem vindo a ser progressivamente substituida ou complementada por ferramentas modernas de orquestração no contexto da plataforma de dados.
<p>É uma ferrameta vocacionada para automatizar tarefas mais operacionais, de automação de infraestrutura e plataforma em ambientes híbridos ou legados do Azure.</p>
<p>No contexto atual, o ""Azure Automation"" não justifica a adoção de uma nova técnica por si só, a não ser que a plataforma já esteja a evoluir provavelmente em torno de: </p>
<p>1. Orquestração nativa de pipelines</p>
<p>2. Infraestrutura como código</p>
<p>3. Fluxos de trabalho ""Servless""</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/automation/overview"">Automação do Azure</p>",Automação,new
